Name,Author,User Rating,Reviews,Price,Year,Genre,Estil_literari,Temas_especificos,Niveles_de_complejidad,Caracteristicas_del_mundo_ficticio,Desarrollo_de_personajes,Enfoque_en_accion_o_reflexion,Longitud_de_la_obra,Epoca_temporal,Nivel_de_detalle_cientifico,Reacciones_emocionales_deseadas
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,narrativa_tecnica,futuros_postapocalipticos,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,epicos_extensos,presente_alterado,aproximacion_especulativa,alegria
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,prosa_poetica,futuros_postapocalipticos,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,presente_alterado,explicaciones_detalladas,suspense
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_sencillas,tecnologias_futuristas,personajes_planos,accion_y_aventura,epicos_extensos,futuros_cercanos,aproximacion_especulativa,suspense
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,dialogo_intenso,futuros_postapocalipticos,tramas_complejas,tecnologias_futuristas,personajes_complejos,accion_y_aventura,epicos_extensos,futuros_cercanos,explicaciones_detalladas,suspense
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,prosa_poetica,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_medianas,futuro_lejano,explicaciones_detalladas,suspense
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,narrativa_tecnica,realidades_virtuales,tramas_sencillas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,novelas_medianas,futuro_lejano,explicaciones_detalladas,suspense
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,prosa_poetica,futuros_postapocalipticos,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,novelas_medianas,futuro_lejano,explicaciones_detalladas,suspense
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,narrativa_tecnica,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_medianas,presente_alterado,explicaciones_detalladas,alegria
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_complejas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,novelas_cortas,futuros_cercanos,explicaciones_detalladas,alegria
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,narrativa_tecnica,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_cortas,presente_alterado,aproximacion_especulativa,reflexion_profunda
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,prosa_poetica,distopias,tramas_complejas,sociedades_aliens,personajes_complejos,narrativas_reflexivas,epicos_extensos,presente_alterado,aproximacion_especulativa,suspense
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,narrativa_tecnica,realidades_virtuales,tramas_sencillas,mundos_alternativos,personajes_complejos,accion_y_aventura,novelas_cortas,futuros_cercanos,explicaciones_detalladas,sorpresa
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,narrativa_tecnica,viajes_en_el_tiempo,tramas_sencillas,mundos_alternativos,personajes_planos,narrativas_reflexivas,novelas_medianas,futuros_cercanos,explicaciones_detalladas,sorpresa
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,prosa_poetica,viajes_en_el_tiempo,tramas_complejas,sociedades_aliens,personajes_planos,accion_y_aventura,epicos_extensos,presente_alterado,aproximacion_especulativa,reflexion_profunda
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_sencillas,tecnologias_futuristas,personajes_complejos,narrativas_reflexivas,novelas_medianas,presente_alterado,aproximacion_especulativa,alegria
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,dialogo_intenso,distopias,tramas_complejas,tecnologias_futuristas,personajes_complejos,narrativas_reflexivas,epicos_extensos,futuros_cercanos,explicaciones_detalladas,suspense
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,dialogo_intenso,realidades_virtuales,tramas_complejas,mundos_alternativos,personajes_planos,accion_y_aventura,epicos_extensos,futuro_lejano,aproximacion_especulativa,reflexion_profunda
