,user_id,llibres_usuari,val_llibres,llibres_recomanats,puntuacions_llibres,cluster,utilitat,vector
0,72fb0d0087d28c832f15776b0d936598,"['800780', '30868', '2088385', '18767539', '18466898', '11339934', '17939501', '15706923', '11950752', '614739', '7840190', '18284532', '15463724', '160495', '1373245', '2718668', '15750710']","[4, 4, 5, 5, 1, 1, 5, 2, 3, 3, 4, 4, 4, 5, 2, 5, 3]","['18306845', '9577969', '377916']","[2, 2, 4]",2,0,"[0.     0.     0.     0.     0.     0.8333 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.1667 0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.4667
 0.3833 0.15   0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.     0.4667 0.5333 0.     0.     0.     0.     0.4    0.     0.6
 0.3167 0.6833 0.45   0.     0.55   0.     1.     0.3    0.     0.7
 0.4333 0.5667 0.     0.6052 0.3682]"
1,903d4b859e86a1dd6d7640849cc7067c,"['16240774', '29003411', '28802599', '25207141', '25496787', '22367526', '6282915', '20910157']","[2, 4, 5, 5, 1, 5, 4, 4]","['7824322', '140082', '110494']","[5, 3, 1]",0,0,"[0.     0.     0.     0.     0.     0.7667 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.2333 0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.1667 0.
 0.3333 0.5    0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.     0.     0.1667 0.     0.     0.     0.8333 0.     0.5667 0.4333
 1.     0.     0.1667 0.8333 0.     0.     1.     0.     0.1333 0.8667
 1.     0.     0.     0.5213 0.338 ]"
2,dc3763cdb9b2cae805882878eebb6a32,"['15813776', '13446443', '17571284', '18471619', '4268273', '13626269', '15829118', '9361589', '47212']","[4, 3, 4, 3, 4, 4, 5, 3, 5]","['3227063', '42899', '476692']","[5, 4, 4]",3,0,"[0.     0.     0.     0.     0.     0.8857 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.1143 0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.5714
 0.2571 0.1714 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.     0.     0.     0.4286 0.2286 0.3429 0.     0.9143 0.0857 0.
 1.     0.     0.4286 0.5714 0.     1.     0.     0.     0.8571 0.1429
 0.1429 0.8571 0.     0.6486 0.3874]"
3,9a6f991d0c99a4df68d01a85191d6184,"['17333223', '18906484', '12982393', '17341631', '21996', '8492768', '564126', '80534', '7948230', '3473', '237209', '14748']","[2, 4, 2, 3, 4, 4, 5, 4, 4, 4, 3, 4]","['8573020', '33512', '930']","[3, 4, 5]",3,0,"[0.     0.     0.     0.     0.     0.907  0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.093  0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.093  0.1628
 0.3953 0.3488 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.     0.2326 0.2791 0.     0.     0.0465 0.4419 0.4419 0.0465 0.5116
 0.8372 0.1628 0.0698 0.9302 0.     0.9535 0.0465 0.093  0.2791 0.6279
 0.6047 0.3023 0.093  0.653  0.3144]"
4,4fe16e3bcbbce3f8801ac6924217fd3b,"['17857647', '13623814', '29780253', '20527133', '20519003', '24876258', '22816087', '60211', '7094569', '10552338', '8855321']","[5, 5, 5, 2, 5, 4, 1, 3, 5, 5, 4]","['10572', '13496', '8058301']","[4, 4, 4]",2,0,"[0.     0.     0.     0.     0.     1.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.1136
 0.3864 0.5    0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.     0.     0.2727 0.2273 0.     0.     0.5    0.4773 0.0909 0.4318
 0.5227 0.4773 0.4773 0.4091 0.1136 0.     1.     0.6591 0.3409 0.
 0.     0.     1.     0.7223 0.3186]"
5,3ca7375dba942a760e53b726c472a7dd,"['25937668', '6449916', '2974811', '11947156', '12291438', '13129966', '6978256', '11870085', '7824322', '2914097', '402128']","[2, 3, 0, 2, 3, 3, 3, 5, 4, 4, 5]","['9275658', '7558747', '307791']","[4, 3, 3]",1,0,"[0.     0.     0.     0.     0.     1.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.2353
 0.0588 0.7059 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.1176 0.4118 0.0588 0.     0.2941 0.     0.1176 0.3235 0.     0.6765
 0.     1.     0.2941 0.7059 0.     0.7353 0.2647 0.3529 0.5882 0.0588
 0.1471 0.8529 0.     0.6553 0.3744]"
6,06bd41ab4c378a8c5a9d45c6b4779650,"['476495', '17333319', '27272506', '23437156', '2495567', '17233800', '6400090', '6698199', '232187', '1618', '8069828', '1210754']","[1, 3, 2, 5, 5, 1, 4, 3, 5, 5, 5, 4]","['19063', '19448', '12326627']","[5, 5, 5]",1,0,"[0.     0.     0.     0.     0.     1.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.3488 0.6512 0.     0.     0.     0.     0.     0.1163 0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.8837
 0.     0.     0.     0.1163 0.6047 0.2791 0.     0.1163 0.     0.8837
 0.3953 0.6047 0.     0.2326 0.7674 1.     0.     0.7209 0.093  0.186
 0.4186 0.4651 0.1163 0.7347 0.3619]"
7,8ecbc8ba108ccf1be156d99a7415c44d,"['13538752', '167913', '498107', '2906039', '10628', '5122520', '612143', '8908', '32424', '43369']","[5, 4, 2, 4, 5, 3, 4, 4, 1, 5]","['149267', '18342', '62291']","[4, 4, 5]",3,0,"[0.     0.     0.     0.     0.     0.8649 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.1351 0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.0541 0.1081
 0.4595 0.3784 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.     0.     0.5946 0.     0.     0.4054 0.     0.4595 0.1351 0.4054
 1.     0.     0.8649 0.     0.1351 1.     0.     0.     0.8919 0.1081
 1.     0.     0.     0.6868 0.3251]"
8,ed61256b9e708b457d6c63b0957fff90,"['356896', '2654', '56466', '103610', '2318271', '4894', '9549', '216443']","[3, 5, 4, 3, 5, 3, 4, 5]","['81922', '98897', '96593']","[3, 2, 4]",3,0,"[0.     0.     0.     0.     0.     1.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.6562 0.3438 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.1562 0.     0.     0.     0.8438
 0.4375 0.     0.4688 0.0938 0.     0.     0.     0.4062 0.     0.5938
 0.5    0.5    0.0938 0.9062 0.     0.8438 0.1562 0.     0.0938 0.9062
 0.     1.     0.     0.7138 0.3191]"
9,6524e92fa0bdb857953f8932a64e8a60,"['6494415', '6759220', '6349055', '8570351', '6801453', '5664022', '6909334', '7316340', '5470', '6186452', '5968529', '3554772', '12908597', '7015554', '6462570', '3660598', '5948932']","[5, 3, 4, 5, 3, 1, 5, 4, 4, 4, 5, 5, 4, 4, 3, 4, 5]","['3258597', '11774931', '9537933']","[5, 5, 3]",2,0,"[0.     0.9412 0.     0.     0.     0.0588 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.0441 0.
 0.8382 0.1176 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     1.
 0.1912 0.     0.     0.7353 0.     0.0735 0.     0.0588 0.5588 0.3824
 0.0735 0.9265 0.0588 0.5    0.4412 0.     1.     0.3529 0.6471 0.
 0.8529 0.0735 0.0735 0.679  0.3668]"
