user_id,books,ratings
8842281e1d1347389f2ab93d60773d4d,"[24375664, 18245960, 6392944, 22078596, 6644782, 1995421, 9460786, 29983426, 29893493, 28114110, 16981, 8191070, 28684704, 27161156, 32768285, 32283133, 16064871, 28119237, 30282601, 20873740, 25884323, 19398490, 23310161, 18662473, 10405048, 22875447, 4866, 23158207, 22318578, 24189224, 22551730, 22816087, 9151181, 17290220, 6954929, 18176747, 5577844, 21792828, 19816540, 17855756, 16158596, 12961964, 8125726, 17315048, 17860739, 137554, 210009, 5064, 19404862, 8545079, 460548, 18659415, 123715, 17451257, 13526165, 8622058, 16033093, 10294362, 6486483, 3977, 13453029, 11869272, 40955, 16008171, 12953520, 13239822, 9850443, 7315573, 12969594, 5572634, 8296156, 8664353, 7632329, 12727969, 11297044, 9418327, 12567957, 4986701, 62291, 10552338, 6563914, 9938498, 831635, 11474551, 18914012, 478, 10139649, 8519525, 38840, 43536, 145102, 6496815, 1707053, 6452796, 211099, 612532, 8694005, 8213519, 7112495, 7518289, 6828896, 7685831, 7830553, 6652906, 2429135, 1839361, 3054673, 781787, 2767052, 27539, 2296567, 6411961, 116187, 77431, 7661, 54499, 6468251, 6150530, 77427, 328854, 77432, 918095, 177193, 6390320, 41804, 6277224, 3061530, 6337218, 19002, 77430, 136251, 3228917, 142296, 705170, 76620, 304889, 43944, 5183, 178186, 49226, 26899, 34497, 1998185, 2118114, 347610, 1010966, 595069, 14497, 1536419, 1003378, 77566, 2875137, 361459, 897461, 10365, 23801, 18122, 341532, 119322, 1953, 764832, 368593, 52357, 760025, 279556, 1903879, 235559, 1903878, 108905, 8714, 685418, 128029, 960, 129549, 34975, 1004, 155981, 41506, 1119327, 350, 22328, 97782, 588146, 151, 517266, 629604, 86630, 231264, 85009, 629566, 14366, 18646, 115471, 5494321, 18455, 191669, 54812, 256008, 98233, 66406, 75004, 17214, 43244, 40958, 912, 41793, 41786, 41716, 41653, 41643, 41619, 259028, 37609, 38300, 32349, 2262, 2256, 8907702, 5358, 32475, 31139, 9624, 19743, 19764, 19691, 19543, 19494, 4395, 7745, 4380, 17372, 13528, 2052, 320, 3359, 4671, 7190, 5544, 10853, 10959, 10147, 10148, 10146, 9345, 9339, 7667, 901, 7126, 3758, 5592, 3876, 4648, 5579, 5559, 5558, 4248, 4099, 3750, 3646, 2674, 3388, 1202, 3368, 2748, 3353, 122, 2552, 2612, 2603, 2574, 2512, 2140, 2265, 1843, 1893, 816, 1633, 874, 857, 856, 840, 835, 830, 828, 1022863, 6, 2, 21]","[5, 5, 3, 4, 4, 0, 4, 5, 5, 4, 3, 5, 3, 0, 5, 0, 5, 4, 4, 5, 4, 4, 4, 5, 4, 5, 0, 3, 5, 0, 4, 5, 3, 5, 5, 5, 5, 5, 5, 4, 0, 4, 5, 5, 4, 0, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 0, 4, 4, 4, 5, 5, 4, 3, 3, 4, 3, 5, 3, 5, 0, 0, 5, 4, 4, 4, 5, 5, 5, 4, 0, 5, 4, 0, 4, 5, 4, 4, 0, 0, 0, 3, 5, 0, 3, 5, 4, 5, 5, 5, 0, 3, 5, 0, 0, 5, 5, 0, 0, 3, 4, 4, 3, 3, 0, 5, 4, 0, 5, 4, 5, 5, 5, 0, 4, 3, 2, 5, 5, 4, 4, 0, 5, 5, 4, 0, 5, 4, 4, 3, 0, 4, 4, 4, 5, 4, 4, 4, 5, 0, 4, 5, 5, 0, 4, 0, 5, 4, 0, 5, 3, 5, 3, 4, 4, 4, 4, 4, 0, 5, 4, 1, 0, 5, 0, 0, 3, 5, 4, 0, 3, 0, 4, 4, 4, 4, 4, 3, 4, 5, 0, 4, 3, 3, 3, 4, 5, 4, 4, 4, 5, 4, 4, 0, 4, 3, 3, 4, 4, 0, 3, 5, 4, 5, 4, 5, 4, 0, 4, 5, 5, 4, 4, 5, 5, 3, 3, 5, 0, 0, 5, 4, 0, 5, 5, 5, 4, 0, 5, 4, 3, 0, 3, 3, 5, 5, 5, 0, 5, 4, 0, 3, 0, 4, 5, 4, 0, 5, 5, 4, 4, 4, 0, 5, 4, 4, 0, 5, 0, 4, 5, 3, 5, 5, 4, 5, 4, 3, 5, 4, 4, 2, 5, 5, 5, 5]"
72fb0d0087d28c832f15776b0d936598,"[800780, 30868, 2088385, 18767539, 18466898, 11339934, 17939501, 15706923, 11950752, 614739, 7840190, 18284532, 15463724, 160495, 1373245, 2718668, 15750710, 18306845, 9577969, 377916]","[4, 4, 5, 5, 1, 1, 5, 2, 3, 3, 4, 4, 4, 5, 2, 5, 3, 2, 2, 4]"
ab2923b738ea3082f5f3efcbbfacb218,"[2187, 6948436, 19501]","[5, 5, 4]"
d986f354a045ffb91234e4af4d1b12fd,[81227],[3]
7504b2aee1ecb5b2872d3da381c6c91e,"[20758175, 835203, 2761356, 23302416, 15507958, 6218281, 71979, 6115138]","[3, 2, 2, 5, 4, 4, 1, 3]"
f8a89075dc6de14857561522e729f82c,"[18053080, 17202780, 17383543, 17183734, 16651458, 10782699]","[4, 1, 2, 5, 5, 5]"
47d4a49ae9ee68ae78d891b3a259b695,[10280642],[5]
704eb93a316aff687a93d5215882eb21,"[24817626, 40173, 16130307, 16299, 7260188, 6148028, 2767052]","[3, 4, 1, 5, 5, 5, 5]"
06316bec7a49286f1f98d5acce24f923,"[1007501, 50725, 457930, 426025]","[4, 1, 1, 5]"
012515e5802b2e0f42915118c90fa04b,"[13206828, 13206900, 13206760, 18658071, 29275562, 25174926, 3227063, 38447, 25174916, 2802316, 9593913, 15747422, 23006161, 9462815, 26074181, 20572939, 18398797, 17331295, 7631105, 13188676, 13623150, 13104080, 11505797, 13508069, 8803932, 11454587, 8428064, 10429045, 11870085, 15861491, 10616322, 15745371, 14743784, 7791997, 11563110, 5287473, 6581511, 11864728, 2998814, 13416236, 10863148, 10799881, 11765920, 2800905]","[5, 4, 5, 2, 5, 5, 4, 3, 5, 4, 3, 3, 4, 2, 3, 5, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 4, 5, 4, 4, 5, 5, 2, 5, 2, 5, 5, 4, 4, 5]"
fe0df2eff573e75c036eb8287c6b012a,[17381987],[5]
f4d16ea4ac59af59d257631398af39f4,"[7304203, 9918133, 1617, 12941351, 13480769, 8755776]","[5, 2, 5, 5, 5, 3]"
220ef9c058a2132e6a9827f93a821d87,[2122],[1]
