book_id,genres
89375,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'comics, graphic']"
89376,['non-fiction']
25317381,"['fiction', 'mystery, thriller, crime', 'romance', 'non-fiction']"
26864719,"['romance', 'fiction', 'mystery, thriller, crime']"
12077902,"['fiction', 'fantasy, paranormal', 'romance', 'mystery, thriller, crime']"
10806008,"['fantasy, paranormal', 'fiction', 'children', 'young-adult', 'mystery, thriller, crime']"
9463563,"['young-adult', 'romance', 'fiction']"
54270,"['history, historical fiction, biography', 'non-fiction', 'comics, graphic']"
31622344,"['romance', 'mystery, thriller, crime', 'fiction']"
218099,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'children']"
38568,"['fantasy, paranormal', 'romance', 'fiction']"
38564,"['young-adult', 'fantasy, paranormal', 'fiction', 'romance']"
175242,"['mystery, thriller, crime', 'fiction', 'fantasy, paranormal']"
175246,"['mystery, thriller, crime', 'fiction', 'fantasy, paranormal']"
213186,"['non-fiction', 'children']"
18528190,"['non-fiction', 'history, historical fiction, biography']"
15944672,"['mystery, thriller, crime', 'fiction']"
140461,"['fiction', 'history, historical fiction, biography']"
24836985,"['mystery, thriller, crime', 'fiction', 'fantasy, paranormal', 'poetry', 'romance']"
361955,['non-fiction']
6357400,"['fiction', 'history, historical fiction, biography', 'young-adult', 'fantasy, paranormal', 'children']"
21853680,"['non-fiction', 'history, historical fiction, biography', 'children']"
22864590,"['fiction', 'history, historical fiction, biography', 'comics, graphic', 'romance', 'young-adult', 'fantasy, paranormal']"
1864045,"['fantasy, paranormal', 'fiction', 'romance', 'mystery, thriller, crime', 'history, historical fiction, biography', 'young-adult']"
13418181,"['fiction', 'mystery, thriller, crime', 'romance']"
19057,"['young-adult', 'fiction', 'mystery, thriller, crime', 'romance', 'fantasy, paranormal']"
17333426,"['poetry', 'non-fiction', 'fiction', 'history, historical fiction, biography']"
23635879,"['romance', 'fiction', 'history, historical fiction, biography']"
8418881,"['fiction', 'romance']"
17902302,"['romance', 'fiction']"
15797848,"['young-adult', 'mystery, thriller, crime', 'romance', 'fiction']"
24487482,['non-fiction']
20559873,"['young-adult', 'fantasy, paranormal', 'romance', 'fiction']"
535225,['fiction']
21823465,"['comics, graphic', 'fiction', 'romance', 'fantasy, paranormal', 'young-adult']"
15676,"['fiction', 'mystery, thriller, crime', 'fantasy, paranormal']"
18335489,['romance']
29780253,"['non-fiction', 'history, historical fiction, biography', 'comics, graphic']"
13398668,"['young-adult', 'romance', 'fiction']"
300905,"['fiction', 'mystery, thriller, crime', 'history, historical fiction, biography', 'romance']"
18684252,['non-fiction']
503099,"['fiction', 'romance', 'mystery, thriller, crime', 'young-adult']"
14458776,"['history, historical fiction, biography', 'non-fiction', 'mystery, thriller, crime']"
14069,"['fantasy, paranormal', 'fiction', 'history, historical fiction, biography', 'young-adult']"
14064,"['fiction', 'fantasy, paranormal', 'mystery, thriller, crime']"
13143,"['mystery, thriller, crime', 'fiction']"
13146,"['mystery, thriller, crime', 'fiction']"
14596332,"['mystery, thriller, crime', 'fiction', 'fantasy, paranormal']"
23697960,"['non-fiction', 'fantasy, paranormal']"
1845050,"['fiction', 'romance']"
17325147,"['romance', 'young-adult', 'fiction']"
16209164,"['fiction', 'fantasy, paranormal', 'mystery, thriller, crime']"
186074,"['fantasy, paranormal', 'fiction', 'young-adult', 'romance']"
13260236,"['fiction', 'history, historical fiction, biography', 'romance']"
18523711,"['fantasy, paranormal', 'romance', 'fiction']"
7811050,"['non-fiction', 'history, historical fiction, biography']"
9534444,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
22738563,['non-fiction']
100286,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'young-adult']"
185117,"['fiction', 'fantasy, paranormal']"
7897620,"['fiction', 'mystery, thriller, crime', 'romance', 'history, historical fiction, biography']"
21412232,"['fiction', 'young-adult']"
2975638,"['fiction', 'fantasy, paranormal', 'children']"
17854310,"['fantasy, paranormal', 'romance', 'fiction']"
17950614,"['young-adult', 'fiction', 'fantasy, paranormal', 'mystery, thriller, crime', 'romance']"
676924,"['romance', 'fiction', 'young-adult', 'fantasy, paranormal']"
4954833,"['fiction', 'history, historical fiction, biography', 'romance']"
1375896,"['fantasy, paranormal', 'young-adult', 'fiction', 'children', 'mystery, thriller, crime']"
64487,"['fiction', 'history, historical fiction, biography', 'romance', 'mystery, thriller, crime', 'young-adult']"
17340536,"['romance', 'fiction', 'young-adult']"
1233859,"['poetry', 'fiction', 'non-fiction']"
58027,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
12717782,"['fiction', 'fantasy, paranormal']"
15828330,"['children', 'fiction']"
27065431,"['mystery, thriller, crime', 'fiction', 'romance']"
15954514,['fiction']
6495359,"['mystery, thriller, crime', 'fiction']"
837899,"['non-fiction', 'history, historical fiction, biography', 'fantasy, paranormal']"
4424,"['history, historical fiction, biography', 'non-fiction', 'comics, graphic']"
1599297,"['fantasy, paranormal', 'romance', 'fiction', 'mystery, thriller, crime']"
25065629,"['non-fiction', 'history, historical fiction, biography', 'comics, graphic']"
12063158,"['fantasy, paranormal', 'young-adult', 'fiction', 'mystery, thriller, crime', 'children', 'romance']"
60229,"['fiction', 'fantasy, paranormal', 'young-adult']"
12214502,"['comics, graphic', 'fiction', 'fantasy, paranormal', 'romance', 'history, historical fiction, biography']"
13101761,"['fiction', 'history, historical fiction, biography', 'fantasy, paranormal', 'romance', 'young-adult']"
12505535,"['young-adult', 'fiction', 'mystery, thriller, crime', 'fantasy, paranormal']"
1514230,"['romance', 'fiction']"
5607622,"['fiction', 'history, historical fiction, biography']"
8683812,"['fiction', 'history, historical fiction, biography', 'romance', 'non-fiction']"
8719258,"['romance', 'fiction']"
382075,"['poetry', 'fiction']"
351219,"['non-fiction', 'history, historical fiction, biography', 'mystery, thriller, crime', 'fiction']"
2326528,['fiction']
75496,"['poetry', 'history, historical fiction, biography', 'non-fiction']"
20881071,"['mystery, thriller, crime', 'fiction']"
4443485,"['non-fiction', 'fiction']"
18491386,[]
20806410,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
12771560,"['history, historical fiction, biography', 'romance', 'fiction']"
116236,"['fiction', 'history, historical fiction, biography', 'young-adult', 'children', 'non-fiction']"
1435381,"['history, historical fiction, biography', 'non-fiction']"
26793642,"['mystery, thriller, crime', 'fiction', 'romance']"
6883382,"['fiction', 'romance']"
13330837,"['non-fiction', 'history, historical fiction, biography']"
6567438,"['fiction', 'history, historical fiction, biography']"
6567437,"['non-fiction', 'comics, graphic', 'poetry']"
6936382,"['young-adult', 'romance', 'fiction']"
4629177,['fiction']
28815474,"['mystery, thriller, crime', 'fiction']"
13593563,"['mystery, thriller, crime', 'young-adult', 'fiction', 'romance']"
291966,"['children', 'comics, graphic', 'fiction', 'non-fiction']"
23210728,"['mystery, thriller, crime', 'fiction', 'history, historical fiction, biography']"
950866,"['fantasy, paranormal', 'mystery, thriller, crime', 'romance', 'fiction']"
9421274,"['fiction', 'history, historical fiction, biography', 'fantasy, paranormal', 'mystery, thriller, crime', 'young-adult']"
35107482,"['mystery, thriller, crime', 'fiction', 'romance']"
10085754,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
6577631,"['non-fiction', 'history, historical fiction, biography']"
21887151,"['non-fiction', 'fiction']"
6537202,"['non-fiction', 'history, historical fiction, biography']"
28765741,"['fantasy, paranormal', 'fiction']"
14578407,"['fiction', 'mystery, thriller, crime', 'fantasy, paranormal', 'young-adult']"
20588698,"['non-fiction', 'history, historical fiction, biography', 'comics, graphic']"
12749487,"['romance', 'fiction', 'mystery, thriller, crime']"
21438940,"['romance', 'fiction']"
6320534,"['fiction', 'mystery, thriller, crime', 'fantasy, paranormal']"
15793074,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime', 'romance']"
15793075,"['romance', 'fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
15506110,"['romance', 'fiction', 'young-adult']"
8935021,"['romance', 'young-adult']"
22202,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'mystery, thriller, crime', 'comics, graphic']"
22205,"['young-adult', 'romance', 'fiction']"
15884631,"['fantasy, paranormal', 'fiction', 'young-adult', 'mystery, thriller, crime']"
13589811,"['romance', 'fiction']"
20525471,"['fantasy, paranormal', 'fiction', 'mystery, thriller, crime']"
13618377,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
18490554,"['fiction', 'history, historical fiction, biography', 'young-adult']"
6466346,"['history, historical fiction, biography', 'non-fiction']"
71332,"['fiction', 'young-adult', 'non-fiction', 'poetry', 'history, historical fiction, biography']"
9370793,"['young-adult', 'fiction', 'fantasy, paranormal', 'romance']"
1793889,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
6068551,"['romance', 'fiction', 'fantasy, paranormal', 'young-adult']"
57732,"['fiction', 'fantasy, paranormal', 'non-fiction', 'history, historical fiction, biography']"
16173662,"['comics, graphic', 'mystery, thriller, crime', 'fiction', 'fantasy, paranormal']"
30530504,"['fiction', 'mystery, thriller, crime', 'fantasy, paranormal', 'romance']"
27069781,['poetry']
2662605,['fiction']
17257990,"['romance', 'fiction']"
10407121,"['young-adult', 'fantasy, paranormal', 'romance', 'fiction', 'mystery, thriller, crime']"
10292486,[]
10534,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
10538,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'comics, graphic']"
29889255,"['fiction', 'fantasy, paranormal']"
9533863,"['fiction', 'mystery, thriller, crime']"
3432478,"['young-adult', 'fantasy, paranormal', 'fiction', 'romance', 'mystery, thriller, crime']"
15815603,['fiction']
17984693,"['non-fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
74532,"['children', 'fiction', 'fantasy, paranormal', 'young-adult']"
13700185,"['fiction', 'romance']"
13602390,"['fantasy, paranormal', 'young-adult', 'fiction', 'mystery, thriller, crime', 'romance']"
441267,"['fiction', 'young-adult', 'children', 'history, historical fiction, biography']"
17255718,"['romance', 'fiction']"
23356442,"['fiction', 'history, historical fiction, biography', 'fantasy, paranormal']"
29241855,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime', 'romance']"
21412284,"['fiction', 'mystery, thriller, crime', 'fantasy, paranormal']"
23602705,"['mystery, thriller, crime', 'fiction']"
23353034,"['non-fiction', 'history, historical fiction, biography', 'young-adult', 'comics, graphic']"
919553,"['mystery, thriller, crime', 'non-fiction', 'history, historical fiction, biography', 'fiction']"
30065140,['romance']
22716194,['fiction']
13564666,"['fantasy, paranormal', 'romance', 'mystery, thriller, crime', 'fiction']"
13538752,"['history, historical fiction, biography', 'non-fiction', 'comics, graphic']"
22463,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
36380796,"['fiction', 'non-fiction', 'history, historical fiction, biography', 'romance']"
38424,"['comics, graphic', 'fiction', 'children', 'young-adult']"
15751404,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
25098377,['non-fiction']
1544154,"['history, historical fiction, biography', 'non-fiction']"
775346,"['fiction', 'mystery, thriller, crime', 'history, historical fiction, biography']"
18953384,"['history, historical fiction, biography', 'mystery, thriller, crime', 'non-fiction']"
28226486,"['young-adult', 'romance', 'fiction', 'fantasy, paranormal', 'children']"
18710619,"['fantasy, paranormal', 'fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
17081593,"['romance', 'fiction', 'mystery, thriller, crime', 'young-adult']"
6953500,"['romance', 'fantasy, paranormal', 'fiction', 'young-adult', 'mystery, thriller, crime']"
11960373,"['non-fiction', 'comics, graphic', 'fiction', 'history, historical fiction, biography']"
34510099,"['fiction', 'mystery, thriller, crime', 'history, historical fiction, biography']"
7076706,"['romance', 'mystery, thriller, crime', 'fiction']"
8664353,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'comics, graphic']"
15834395,"['fantasy, paranormal', 'romance', 'fiction']"
25251757,"['fiction', 'mystery, thriller, crime', 'young-adult']"
34735173,"['mystery, thriller, crime', 'fiction']"
144109,"['fantasy, paranormal', 'fiction', 'romance']"
15733851,"['romance', 'fiction', 'young-adult']"
1535592,"['non-fiction', 'fiction', 'comics, graphic', 'history, historical fiction, biography']"
6972193,"['young-adult', 'fantasy, paranormal', 'romance', 'fiction', 'mystery, thriller, crime']"
534154,"['non-fiction', 'history, historical fiction, biography']"
13626269,"['fantasy, paranormal', 'young-adult', 'fiction']"
16008604,"['fantasy, paranormal', 'romance', 'fiction']"
25898338,"['mystery, thriller, crime', 'romance', 'fiction']"
13047258,"['fiction', 'children', 'non-fiction', 'young-adult', 'history, historical fiction, biography', 'romance', 'fantasy, paranormal']"
425696,"['non-fiction', 'history, historical fiction, biography']"
17737996,"['fantasy, paranormal', 'romance', 'fiction', 'mystery, thriller, crime']"
2111048,"['fiction', 'history, historical fiction, biography', 'young-adult', 'children']"
12711899,"['fantasy, paranormal', 'young-adult', 'romance', 'fiction', 'mystery, thriller, crime']"
36359003,[]
17416065,"['young-adult', 'fiction', 'romance', 'mystery, thriller, crime']"
860818,['poetry']
9256414,"['young-adult', 'fantasy, paranormal', 'romance', 'mystery, thriller, crime', 'fiction']"
19385490,['non-fiction']
11503582,"['young-adult', 'fiction', 'mystery, thriller, crime', 'fantasy, paranormal', 'romance']"
30241421,['fiction']
7163609,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
